strain	gisaid_strain	bloom_strain
A/Colorado/218/2024	A/Colorado/218/2024	A/Colorado/218/2024_H1N1
A/Oregon/261/2024	A/Oregon/261/2024	A/Oregon/261/2024_H1N1
A/Hawaii/ISC-1140/2025	A/Hawaii/ISC-1140/2025	A/Hawaii/ISC-1140/2025_H1N1
A/Utah/39/2025	A/Utah/39/2025	A/Utah/39/2025_H1N1
A/Santiago/101713/2024	A/Santiago/101713/2024	A/Santiago/101713/2024_H1N1
A/Wisconsin/NIRC-IS-1111/2025	A/Wisconsin/NIRC-IS-1111/2025	A/Wisconsin/NIRC-IS-1111/2025_H1N1
A/Busan/277/2025	A/Busan/277/2025	A/Busan/277/2025_H1N1
A/Ulsan/492/2025	A/Ulsan/492/2025	A/Ulsan/492/2025_H1N1
A/Tokyo/EIS11-277/2024	A/TOKYO/EIS11-277/2024	A/TOKYO/EIS11-277/2024_H1N1
A/Kanagawa/AC2408/2025	A/KANAGAWA/AC2408/2025	A/KANAGAWA/AC2408/2025_H1N1
A/StPetersburg/RII-04/2025	A/Saint-Petersburg/RII-04/2025	A/Saint-Petersburg/RII-04/2025_H1N1
A/Uganda/UVRI_KIS6850/2024	A/Uganda/UVRI_KIS6850_2024	A/Uganda/UVRI_KIS6850_2024_H1N1
A/NovaScotia/ET1801CP00018S/2025	A/NovaScotia/ET1801CP00018S/2025	A/NovaScotia/ET1801CP00018S/2025_H1N1
A/Massachusetts/ISC-1679/2025	A/Massachusetts/ISC-1679/2025	A/Massachusetts/ISC-1679/2025_H1N1
A/Maldives/2132/2024	A/Maldives/2132/2024	A/Maldives/2132/2024_H1N1
A/Vermont/5/2025	A/Vermont/05/2025	A/Vermont/05/2025_H1N1
A/Oregon/11/2025	A/Oregon/11/2025	A/Oregon/11/2025_H1N1
A/Tennessee/4/2025	A/Tennessee/04/2025	A/Tennessee/04/2025_H1N1
A/Zacapa/FLU-012/2025	A/Zacapa/FLU-012/2025	A/Zacapa/FLU-012/2025_H1N1
A/Tambov/160-1V/2024	A/Tambov/160-1V/2024	A/Tambov/160-1V/2024_H1N1
A/Wisconsin/67/2022	A/Wisconsin/67/2022	A/Wisconsin/67/2022_H1N1
A/Victoria/3599/2024	A/Victoria/3599/2024	A/Victoria/3599/2024_H1N1
A/Victoria/4897/2022-egg	A/Victoria/4897/2022-egg	A/Victoria/4897/2022_IVR-238_H1N1
A/Wisconsin/30/2025	A/Wisconsin/30/2025	A/Wisconsin/30/2025_H1N1
A/Vermont/10/2025	A/Vermont/10/2025	A/Vermont/10/2025_H1N1
A/Singapore/MOH0547/2024	A/Singapore/MOH0547/2024	A/Singapore/MOH0547/2024_H1N1
A/Maryland/64/2024	A/Maryland/64/2024	A/Maryland/64/2024_H1N1
A/Illinois/65/2024	A/Illinois/65/2024	A/Illinois/65/2024_H1N1
A/Minnesota/131/2024	A/Minnesota/131/2024	A/Minnesota/131/2024_H1N1
A/Iowa/123/2024	A/Iowa/123/2024	A/Iowa/123/2024_H1N1
A/Bangkok/P176/2025	A/Bangkok/P176/2025	A/Bangkok/P176/2025_H1N1
A/Queensland/IN000684/2024	A/Queensland/IN000684/2024	A/Queensland/IN000684/2024_H1N1
A/Qinghai-Chengzhong/SWL1410/2024	A/Qinghai-Chengzhong/SWL1410/2024	A/Qinghai-Chengzhong/SWL1410/2024_H1N1
A/Shanghai-Huangpu/SWL12109/2024	A/Shanghai-Huangpu/SWL12109/2024	A/Shanghai-Huangpu/SWL12109/2024_H1N1
A/Madagascar/3/2025	A/Madagascar/00003/2025	A/Madagascar/00003/2025_H1N1
A/Qatar/83328/2024	A/Qatar/83328/2024	A/Qatar/83328/2024_H1N1
A/Pakistan/306/2024	A/Pakistan/306/2024	A/Pakistan/306/2024_H1N1
A/Vladimir/RII-MH223382S/2024	A/Vladimir/RII-MH223382S/2024	A/Vladimir/RII-MH223382S/2024_H1N1
A/Ohio/259/2024	A/Ohio/259/2024	A/Ohio/259/2024_H1N1
A/Ufa/47/2024	A/Ufa/CRIE/47/2024	A/Ufa/CRIE/47/2024_H1N1
A/Lisbon/188/2023	A/Lisboa/188/2023	A/Lisboa/188/2023_H1N1
